scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Injuries,Aston Villa,D,Diego Carlos,NO
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,GK,Gavin Bazunu,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DL,R. Perraud,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DC,M. Salisu,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DC,A. Bella-Kotchap,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DR,K. Walker-Peters,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DMC,J. Ward-Prowse,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,DMC,I. Diallo,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,AML,A. Armstrong,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,AMC,M. Elyounoussi,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,AMR,Joe Aribo,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Expected Lineup,Southampton,FW,Che Adams,YES
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Injuries,Southampton,M,Romeo Lavia,NO
2022-09-16 10:21:46,EPL,September 16,3:00 PM ET,Aston Villa,Southampton,Injuries,Southampton,M/D,V. Livramento,NO
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,GK,Jose Sa,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,DL,R. Ait-Nouri,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,DC,N. Collins,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,DC,Max Kilman,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,DR,Jonny,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,MC,J. Moutinho,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,MC,Ruben Neves,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,MC,Matheus Nunes,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,FWL,Pedro Neto,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,FWR,D. Podence,YES
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Wolverhampton,FW,Raul Jimenez,NO
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Injuries,Wolverhampton,F,Raul Jimenez,NO
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Injuries,Wolverhampton,F,S. Kalajdzic,NO
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Injuries,Wolverhampton,F/M,Chiquinho,NO
2022-09-16 10:21:46,EPL,September 17,7:30 AM ET,Wolverhampton,Manchester City,Expected Lineup,Manchester City,GK,Ederson,YES
