scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,D,M. Holgate,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,G,A. Lonergan,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,D,Yerry Mina,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,G,J. Pickford,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,Everton,F/M,A. Townsend,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,GK,L. Fabianski,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DL,A. Cresswell,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DC,Kurt Zouma,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DC,Thilo Kehrer,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DR,V. Coufal,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DMC,Tomas Soucek,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,DMC,Declan Rice,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,AML,P. Fornals,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,AMC,L. Paqueta,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,AMR,Jarrod Bowen,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,FW,M. Antonio,YES
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,D,Nayef Aguerd,NO
2022-09-18 14:45:35,EPL,2022-09-18,9:15 AM ET,Everton,West Ham United,Expected Lineup,West Ham United,D,Ben Johnson,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,GK,P. Pentz,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,DC,E. Agbadou,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,DC,A. Gravillon,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,DC,Y. Abdelhamid,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,ML,B. Locko,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,MC,J. Cajuste,YES
